employee_id,full_name,first_name,last_name,position_title,birth_Date,salary,education_level,marital_status,gender,management_role,pay_type,min_scale,max_scale,store_type,store_name,store_street_address,store_city,store_state,store_country
837,"Concetta Steinberg",Concetta,Steinberg,"Store Permanent Checker",1914-02-02,6800.0000,"Partial College",M,F,"Store Full Time Staf",Monthly,5000.0000,9000.0000,Supermarket,"Store 1","2853 Bailey Rd",Acapulco,Guerrero,Mexico
838,"William Viellieux",William,Viellieux,"Store Permanent Checker",1914-02-02,6700.0000,"Bachelors Degree",S,F,"Store Full Time Staf",Monthly,5000.0000,9000.0000,Supermarket,"Store 1","2853 Bailey Rd",Acapulco,Guerrero,Mexico
839,"Ted Baugh",Ted,Baugh,"Store Permanent Checker",1914-02-02,8200.0000,"Bachelors Degree",M,F,"Store Full Time Staf",Monthly,5000.0000,9000.0000,Supermarket,"Store 1","2853 Bailey Rd",Acapulco,Guerrero,Mexico
840,"Josh Mullins",Josh,Mullins,"Store Temporary Checker",1914-02-02,20.0000,"Partial College",S,M,"Store Full Time Staf",Hourly,20.0000,40.0000,Supermarket,"Store 1","2853 Bailey Rd",Acapulco,Guerrero,Mexico
841,"Catherine Maes",Catherine,Maes,"Store Temporary Checker",1914-02-02,20.0000,"Bachelors Degree",S,M,"Store Full Time Staf",Hourly,20.0000,40.0000,Supermarket,"Store 1","2853 Bailey Rd",Acapulco,Guerrero,Mexico
842,"Renee Trujillo",Renee,Trujillo,"Store Temporary Checker",1914-02-02,20.0000,"Bachelors Degree",M,F,"Store Full Time Staf",Hourly,20.0000,40.0000,Supermarket,"Store 1","2853 Bailey Rd",Acapulco,Guerrero,Mexico
843,"Isabel Barrington",Isabel,Barrington,"Store Temporary Checker",1914-02-02,20.0000,"High School Degree",S,M,"Store Full Time Staf",Hourly,20.0000,40.0000,Supermarket,"Store 1","2853 Bailey Rd",Acapulco,Guerrero,Mexico
844,"Donna Zuluaga",Donna,Zuluaga,"Store Temporary Checker",1914-02-02,20.0000,"Partial High School",M,F,"Store Full Time Staf",Hourly,20.0000,40.0000,Supermarket,"Store 1","2853 Bailey Rd",Acapulco,Guerrero,Mexico
845,"Parker Abo",Parker,Abo,"Store Temporary Checker",1914-02-02,20.0000,"Bachelors Degree",M,M,"Store Full Time Staf",Hourly,20.0000,40.0000,Supermarket,"Store 1","2853 Bailey Rd",Acapulco,Guerrero,Mexico
846,"Jacob Azzolino",Jacob,Azzolino,"Store Temporary Checker",1914-02-02,20.0000,"Bachelors Degree",M,F,"Store Full Time Staf",Hourly,20.0000,40.0000,Supermarket,"Store 1","2853 Bailey Rd",Acapulco,Guerrero,Mexico
847,"Grant Archuleta",Grant,Archuleta,"Store Temporary Checker",1914-02-02,20.0000,"Graduate Degree",M,F,"Store Full Time Staf",Hourly,20.0000,40.0000,Supermarket,"Store 1","2853 Bailey Rd",Acapulco,Guerrero,Mexico
848,"Melvin Campos",Melvin,Campos,"Store Temporary Checker",1914-02-02,20.0000,"High School Degree",S,M,"Store Full Time Staf",Hourly,20.0000,40.0000,Supermarket,"Store 1","2853 Bailey Rd",Acapulco,Guerrero,Mexico
849,"Gary Unfried",Gary,Unfried,"Store Temporary Checker",1914-02-02,20.0000,"Graduate Degree",M,F,"Store Full Time Staf",Hourly,20.0000,40.0000,Supermarket,"Store 1","2853 Bailey Rd",Acapulco,Guerrero,Mexico
850,"Roberta Bozeman",Roberta,Bozeman,"Store Temporary Checker",1914-02-02,20.0000,"Partial College",S,M,"Store Full Time Staf",Hourly,20.0000,40.0000,Supermarket,"Store 1","2853 Bailey Rd",Acapulco,Guerrero,Mexico
851,"Jeremy Kassab",Jeremy,Kassab,"Store Temporary Checker",1914-02-02,20.0000,"High School Degree",M,M,"Store Full Time Staf",Hourly,20.0000,40.0000,Supermarket,"Store 1","2853 Bailey Rd",Acapulco,Guerrero,Mexico
852,"Phyllis Enlow",Phyllis,Enlow,"Store Temporary Checker",1914-02-02,20.0000,"High School Degree",S,F,"Store Full Time Staf",Hourly,20.0000,40.0000,Supermarket,"Store 1","2853 Bailey Rd",Acapulco,Guerrero,Mexico
853,"Gene Lee",Gene,Lee,"Store Temporary Checker",1914-02-02,20.0000,"High School Degree",M,F,"Store Full Time Staf",Hourly,20.0000,40.0000,Supermarket,"Store 1","2853 Bailey Rd",Acapulco,Guerrero,Mexico
854,"Linda Skapinok",Linda,Skapinok,"Store Temporary Checker",1914-02-02,20.0000,"Partial High School",M,F,"Store Full Time Staf",Hourly,20.0000,40.0000,Supermarket,"Store 1","2853 Bailey Rd",Acapulco,Guerrero,Mexico
855,"Maria Marsden",Maria,Marsden,"Store Permanent Stocker",1914-02-02,4400.0000,"Bachelors Degree",S,M,"Store Full Time Staf",Monthly,3400.0000,6700.0000,Supermarket,"Store 1","2853 Bailey Rd",Acapulco,Guerrero,Mexico
856,"Jeffrey Campbell",Jeffrey,Campbell,"Store Permanent Stocker",1914-02-02,4800.0000,"Partial College",S,M,"Store Full Time Staf",Monthly,3400.0000,6700.0000,Supermarket,"Store 1","2853 Bailey Rd",Acapulco,Guerrero,Mexico
857,"Leonardo Roberts",Leonardo,Roberts,"Store Permanent Stocker",1914-02-02,3700.0000,"High School Degree",S,M,"Store Full Time Staf",Monthly,3400.0000,6700.0000,Supermarket,"Store 1","2853 Bailey Rd",Acapulco,Guerrero,Mexico
858,"Kathy Larkin",Kathy,Larkin,"Store Permanent Stocker",1914-02-02,6500.0000,"Partial College",M,F,"Store Full Time Staf",Monthly,3400.0000,6700.0000,Supermarket,"Store 1","2853 Bailey Rd",Acapulco,Guerrero,Mexico
859,"Joan Bitler",Joan,Bitler,"Store Permanent Stocker",1914-02-02,5200.0000,"Graduate Degree",S,M,"Store Full Time Staf",Monthly,3400.0000,6700.0000,Supermarket,"Store 1","2853 Bailey Rd",Acapulco,Guerrero,Mexico
860,"Jim Allen",Jim,Allen,"Store Permanent Stocker",1914-02-02,4650.0000,"Partial College",S,F,"Store Full Time Staf",Monthly,3400.0000,6700.0000,Supermarket,"Store 1","2853 Bailey Rd",Acapulco,Guerrero,Mexico
861,"Ella Worth",Ella,Worth,"Store Permanent Stocker",1914-02-02,4550.0000,"Bachelors Degree",M,F,"Store Full Time Staf",Monthly,3400.0000,6700.0000,Supermarket,"Store 1","2853 Bailey Rd",Acapulco,Guerrero,Mexico
862,"Ivan Mauro",Ivan,Mauro,"Store Permanent Stocker",1914-02-02,4400.0000,"Bachelors Degree",M,F,"Store Full Time Staf",Monthly,3400.0000,6700.0000,Supermarket,"Store 1","2853 Bailey Rd",Acapulco,Guerrero,Mexico
863,"Sharon Stroh",Sharon,Stroh,"Store Permanent Stocker",1914-02-02,4700.0000,"Bachelors Degree",M,M,"Store Full Time Staf",Monthly,3400.0000,6700.0000,Supermarket,"Store 1","2853 Bailey Rd",Acapulco,Guerrero,Mexico
864,"Karen Theriault",Karen,Theriault,"Store Permanent Stocker",1914-02-02,4500.0000,"Partial College",M,F,"Store Full Time Staf",Monthly,3400.0000,6700.0000,Supermarket,"Store 1","2853 Bailey Rd",Acapulco,Guerrero,Mexico
865,"Julia Ketterman",Julia,Ketterman,"Store Permanent Stocker",1914-02-02,4400.0000,"Graduate Degree",M,F,"Store Full Time Staf",Monthly,3400.0000,6700.0000,Supermarket,"Store 1","2853 Bailey Rd",Acapulco,Guerrero,Mexico
866,"Rose Beavers",Rose,Beavers,"Store Permanent Stocker",1914-02-02,4600.0000,"Partial High School",M,M,"Store Full Time Staf",Monthly,3400.0000,6700.0000,Supermarket,"Store 1","2853 Bailey Rd",Acapulco,Guerrero,Mexico
867,"John Dephillipo",John,Dephillipo,"Store Temporary Stocker",1914-02-02,20.0000,"Graduate Degree",S,M,"Store Temp Staff",Hourly,20.0000,40.0000,Supermarket,"Store 1","2853 Bailey Rd",Acapulco,Guerrero,Mexico
868,"Nellie Orando",Nellie,Orando,"Store Temporary Stocker",1914-02-02,20.0000,"Partial College",M,M,"Store Temp Staff",Hourly,20.0000,40.0000,Supermarket,"Store 1","2853 Bailey Rd",Acapulco,Guerrero,Mexico
869,"Norman Troxell",Norman,Troxell,"Store Temporary Stocker",1914-02-02,20.0000,"High School Degree",M,M,"Store Temp Staff",Hourly,20.0000,40.0000,Supermarket,"Store 1","2853 Bailey Rd",Acapulco,Guerrero,Mexico
870,"Patrick Gabbard",Patrick,Gabbard,"Store Temporary Stocker",1914-02-02,20.0000,"Bachelors Degree",S,F,"Store Temp Staff",Hourly,20.0000,40.0000,Supermarket,"Store 1","2853 Bailey Rd",Acapulco,Guerrero,Mexico
871,"Ted Lebaron",Ted,Lebaron,"Store Temporary Stocker",1914-02-02,20.0000,"High School Degree",M,M,"Store Temp Staff",Hourly,20.0000,40.0000,Supermarket,"Store 1","2853 Bailey Rd",Acapulco,Guerrero,Mexico
872,"Medra Hill",Medra,Hill,"Store Temporary Stocker",1914-02-02,20.0000,"Bachelors Degree",M,F,"Store Temp Staff",Hourly,20.0000,40.0000,Supermarket,"Store 1","2853 Bailey Rd",Acapulco,Guerrero,Mexico
873,"Michael Butcher",Michael,Butcher,"Store Temporary Stocker",1914-02-02,20.0000,"Bachelors Degree",M,F,"Store Temp Staff",Hourly,20.0000,40.0000,Supermarket,"Store 1","2853 Bailey Rd",Acapulco,Guerrero,Mexico
874,"Amy Taurman",Amy,Taurman,"Store Temporary Stocker",1914-02-02,20.0000,"Bachelors Degree",M,M,"Store Temp Staff",Hourly,20.0000,40.0000,Supermarket,"Store 1","2853 Bailey Rd",Acapulco,Guerrero,Mexico
875,"Lillie Rachak",Lillie,Rachak,"Store Temporary Stocker",1914-02-02,20.0000,"Bachelors Degree",M,M,"Store Temp Staff",Hourly,20.0000,40.0000,Supermarket,"Store 1","2853 Bailey Rd",Acapulco,Guerrero,Mexico
876,"Loy Caro",Loy,Caro,"Store Temporary Stocker",1914-02-02,20.0000,"Bachelors Degree",S,M,"Store Temp Staff",Hourly,20.0000,40.0000,Supermarket,"Store 1","2853 Bailey Rd",Acapulco,Guerrero,Mexico
877,"Beverly Robertson",Beverly,Robertson,"Store Temporary Stocker",1914-02-02,20.0000,"Partial High School",M,M,"Store Temp Staff",Hourly,20.0000,40.0000,Supermarket,"Store 1","2853 Bailey Rd",Acapulco,Guerrero,Mexico
878,"Margaret Potter",Margaret,Potter,"Store Temporary Stocker",1914-02-02,20.0000,"Partial College",S,F,"Store Temp Staff",Hourly,20.0000,40.0000,Supermarket,"Store 1","2853 Bailey Rd",Acapulco,Guerrero,Mexico
879,"Maya Holmes",Maya,Holmes,"Store Temporary Stocker",1914-02-02,20.0000,"Partial College",S,M,"Store Temp Staff",Hourly,20.0000,40.0000,Supermarket,"Store 1","2853 Bailey Rd",Acapulco,Guerrero,Mexico
880,"Ryan Crouch",Ryan,Crouch,"Store Temporary Stocker",1914-02-02,20.0000,"Bachelors Degree",S,M,"Store Temp Staff",Hourly,20.0000,40.0000,Supermarket,"Store 1","2853 Bailey Rd",Acapulco,Guerrero,Mexico
881,"Jason Henderson",Jason,Henderson,"Store Temporary Stocker",1914-02-02,20.0000,"Graduate Degree",M,M,"Store Temp Staff",Hourly,20.0000,40.0000,Supermarket,"Store 1","2853 Bailey Rd",Acapulco,Guerrero,Mexico
29,"Kevin Armstrong",Kevin,Armstrong,"Store Manager",1937-10-04,8500.0000,"Graduate Degree",M,M,"Store Management",Monthly,8500.0000,17000.0000,"Small Grocery","Store 2","5203 Catanzaro Way",Bellingham,WA,USA
359,"Danielle Johnson",Danielle,Johnson,"Store Assistant Manager",1972-05-12,8000.0000,"Partial College",M,F,"Store Management",Monthly,6700.0000,12500.0000,"Small Grocery","Store 2","5203 Catanzaro Way",Bellingham,WA,USA
360,"Bonnie Lepro",Bonnie,Lepro,"Store Permanent Checker",1914-02-02,6700.0000,"Graduate Degree",M,M,"Store Full Time Staf",Monthly,5000.0000,9000.0000,"Small Grocery","Store 2","5203 Catanzaro Way",Bellingham,WA,USA
361,"Carol Elliott",Carol,Elliott,"Store Temporary Checker",1914-02-02,20.0000,"Partial High School",S,F,"Store Full Time Staf",Hourly,20.0000,40.0000,"Small Grocery","Store 2","5203 Catanzaro Way",Bellingham,WA,USA
30,"Cody Goldey",Cody,Goldey,"Store Manager",1917-07-08,15000.0000,"Partial College",M,M,"Store Management",Monthly,8500.0000,17000.0000,Supermarket,"Store 3","1501 Ramsey Circle",Bremerton,WA,USA
362,"Shanay Steelman",Shanay,Steelman,"Store Assistant Manager",1932-12-24,13000.0000,"Graduate Degree",S,F,"Store Management",Monthly,6700.0000,12500.0000,Supermarket,"Store 3","1501 Ramsey Circle",Bremerton,WA,USA
363,"Frances Adams",Frances,Adams,"Store Shift Supervisor",1961-09-24,8900.0000,"Partial High School",S,F,"Store Management",Monthly,6700.0000,8500.0000,Supermarket,"Store 3","1501 Ramsey Circle",Bremerton,WA,USA
364,"Alma Poorbaugh",Alma,Poorbaugh,"Store Shift Supervisor",1961-09-24,8200.0000,"High School Degree",S,F,"Store Management",Monthly,6700.0000,8500.0000,Supermarket,"Store 3","1501 Ramsey Circle",Bremerton,WA,USA
365,"Neal Hasty",Neal,Hasty,"Store Shift Supervisor",1961-09-24,7000.0000,"Partial College",S,F,"Store Management",Monthly,6700.0000,8500.0000,Supermarket,"Store 3","1501 Ramsey Circle",Bremerton,WA,USA
366,"Steven Betsekas",Steven,Betsekas,"Store Permanent Butcher",1960-12-10,8500.0000,"Bachelors Degree",M,M,"Store Full Time Staf",Monthly,6700.0000,10000.0000,Supermarket,"Store 3","1501 Ramsey Circle",Bremerton,WA,USA
367,"Arvid Ziegler",Arvid,Ziegler,"Store Permanent Butcher",1960-12-10,8500.0000,"Bachelors Degree",S,F,"Store Full Time Staf",Monthly,6700.0000,10000.0000,Supermarket,"Store 3","1501 Ramsey Circle",Bremerton,WA,USA
368,"Ann Weyerhaeuser",Ann,Weyerhaeuser,"Store Information Systems",1942-06-01,9000.0000,"High School Degree",S,F,"Store Full Time Staf",Monthly,6700.0000,10000.0000,Supermarket,"Store 3","1501 Ramsey Circle",Bremerton,WA,USA
369,"Dorothy Robinson",Dorothy,Robinson,"Store Permanent Checker",1914-02-02,7000.0000,"High School Degree",M,F,"Store Full Time Staf",Monthly,5000.0000,9000.0000,Supermarket,"Store 3","1501 Ramsey Circle",Bremerton,WA,USA
370,"June Brunner",June,Brunner,"Store Permanent Checker",1914-02-02,6800.0000,"Partial College",M,M,"Store Full Time Staf",Monthly,5000.0000,9000.0000,Supermarket,"Store 3","1501 Ramsey Circle",Bremerton,WA,USA
371,"Judith Frazier",Judith,Frazier,"Store Permanent Checker",1914-02-02,6700.0000,"Graduate Degree",S,M,"Store Full Time Staf",Monthly,5000.0000,9000.0000,Supermarket,"Store 3","1501 Ramsey Circle",Bremerton,WA,USA
372,"Michelle Rector",Michelle,Rector,"Store Permanent Checker",1914-02-02,8200.0000,"High School Degree",S,M,"Store Full Time Staf",Monthly,5000.0000,9000.0000,Supermarket,"Store 3","1501 Ramsey Circle",Bremerton,WA,USA
373,"Mari Caldwell",Mari,Caldwell,"Store Permanent Checker",1914-02-02,7000.0000,"Bachelors Degree",S,F,"Store Full Time Staf",Monthly,5000.0000,9000.0000,Supermarket,"Store 3","1501 Ramsey Circle",Bremerton,WA,USA
374,"Linda Gonzales",Linda,Gonzales,"Store Permanent Checker",1914-02-02,6800.0000,"Partial College",S,F,"Store Full Time Staf",Monthly,5000.0000,9000.0000,Supermarket,"Store 3","1501 Ramsey Circle",Bremerton,WA,USA
375,"Alan Monitor",Alan,Monitor,"Store Permanent Checker",1914-02-02,6700.0000,"Bachelors Degree",M,F,"Store Full Time Staf",Monthly,5000.0000,9000.0000,Supermarket,"Store 3","1501 Ramsey Circle",Bremerton,WA,USA
376,"Elsie Lewin",Elsie,Lewin,"Store Permanent Checker",1914-02-02,8200.0000,"Graduate Degree",M,M,"Store Full Time Staf",Monthly,5000.0000,9000.0000,Supermarket,"Store 3","1501 Ramsey Circle",Bremerton,WA,USA
377,"Bev Desalvo",Bev,Desalvo,"Store Permanent Checker",1914-02-02,7000.0000,"Bachelors Degree",M,F,"Store Full Time Staf",Monthly,5000.0000,9000.0000,Supermarket,"Store 3","1501 Ramsey Circle",Bremerton,WA,USA
378,"Oscar Alpuerto",Oscar,Alpuerto,"Store Permanent Checker",1914-02-02,6800.0000,"Partial College",M,M,"Store Full Time Staf",Monthly,5000.0000,9000.0000,Supermarket,"Store 3","1501 Ramsey Circle",Bremerton,WA,USA
379,"Cecelia Marshall",Cecelia,Marshall,"Store Permanent Checker",1914-02-02,6700.0000,"High School Degree",S,M,"Store Full Time Staf",Monthly,5000.0000,9000.0000,Supermarket,"Store 3","1501 Ramsey Circle",Bremerton,WA,USA
380,"Gabriel Bockenkamp",Gabriel,Bockenkamp,"Store Permanent Checker",1914-02-02,8200.0000,"Partial College",S,M,"Store Full Time Staf",Monthly,5000.0000,9000.0000,Supermarket,"Store 3","1501 Ramsey Circle",Bremerton,WA,USA
381,"Alice Kesterson",Alice,Kesterson,"Store Temporary Checker",1914-02-02,20.0000,"Partial College",S,F,"Store Full Time Staf",Hourly,20.0000,40.0000,Supermarket,"Store 3","1501 Ramsey Circle",Bremerton,WA,USA
